City,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Terrorist Recuit- ment,Terrorist Funding,Inciting Hate against Country,Disrupt Public Service,Sale purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total,Crime Rate
Agra,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,70,4
Allahabad,0,0,222,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,19.8
Amritsar,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8
Asansol,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,1.7
Aurangabad,5,2,51,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,82,6.9
Bhopal,0,0,4,7,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,16,0.8
Chandigarh City,0,0,19,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2.9
Dhanbad,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2.6
Durg-Bhilainagar,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9
Faridabad,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,1.2
Gwalior,0,2,24,1,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,41,3.7
Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamshedpur,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3.5
Jodhpur,0,0,59,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,42,111,9.8
Kannur,3,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,10,0.6
Kollam,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.1
Kota,0,3,6,5,5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,26,2.6
Ludhiana,0,0,6,4,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1.5
Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malappuram,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.4
Meerut,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,64,4.5
Nasik,0,0,21,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2.6
Raipur,0,0,3,0,8,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,23,2
Rajkot,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.5
Ranchi,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,15.5
Srinagar,1,0,6,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,1.2
Thiruvananthapuram,7,2,23,0,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,4,47,2.8
Thrissur,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3
Tiruchirapalli,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0.6
Vadodara,0,0,11,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0.8
Varanasi,12,14,111,5,17,31,31,2,0,0,0,2,5,0,0,8,0,0,0,49,287,20
Vasai Virar,1,1,16,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,48,3.9
Vijayawada,9,0,75,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,72,181,12.1
Vishakhapatnam,13,15,358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,427,24.7
,,,,,,,,,,,,,,,,,,,,,,
